"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","COM_LAST_PRICE","COM_52W_LOW","COM_52W_HIGH","COM_6M_PRICE","COM_3M_PRICE","COM_5Y_LOW","COM_5Y_HIGH","COM_MKTCAP","CRDT_SCORE","COM_FEB2020_PRICE","COM_MAR2020_PRICE","COM_5Y_LOW_CHG","COM_5Y_HIGH_CHG","COM_52W_LOW_CHG","COM_52W_HIGH_CHG","COM_6M_CHG","COM_3M_CHG","COM_FEB2020_CHG","COM_MAR2020_CHG","5Y_LOW_SKOR","5Y_HIGH_SKOR","52W_LOW_SKOR","52W_HIGH_SKOR","COM_6M_SKOR","COM_3M_SKOR","FEB2020_SKOR","MAR2020_SKOR","Normalized_5Y_LOW","Normalized_5Y_HIGH","Normalized_52W_LOW","Normalized_52W_HIGH","Normalized_COM_6M","Normalized_COM_3M","Normalized_FEB2020","Normalized_MAR2020"
"ABLLL","ABLLL","ABL","","BB","8.000000","05/13/2025","2/15/2027","11/15/2028","0.620000","9.88%","","","95.62","Insurance","","82.000000","","","","","","25.480000","","","26.120000","26.230000","-2.440000","-2.860000","24.090000","38.500000","24.090000","38.500000","25.420000","8.910000","6.340000","12.400000","8.710000","7.610000","5.470000","13.250000","0.851974","8.000000","","","0.628885","-0.327547","0.405363","-0.281452","0.022962","0.170828","","","108.978633","2960.248411","98.474200","142.505600","49.900089","53.427591","","","57.554479","84.455918","79.234369","87.195134","73.005189","77.711734","",""
"ABR PRD","ABR-D","ABR","","","8.000000","06/17/2025","6/2/2026","NONE","0.400000","6.38%","21.350000","16.600000","192.08","Reit","","27.000000","","","","","","17.160000","0.560000","-4.190000","17.810000","18.370000","-3.660000","-6.590000","16.750000","19.980000","15.900000","19.980000","16.880000","10.250000","9.660000","15.940000","14.500000","13.820000","7.380000","20.740000","1.968820","8.000000","15.000000","4.820000","0.388889","-0.505786","0.061077","-0.356964","-0.293103","-0.258321","-0.316667","1.126556","97.492963","2167.328942","1.409059","124.245684","33.447673","30.851439","357.354569","437.037956","51.593989","62.101773","2.119449","76.150544","49.264563","45.296726","13.553192","21.766042"
"ABR PRE","ABR-E","ABR","","","8.000000","06/17/2025","8/11/2026","NONE","0.390000","6.25%","21.350000","16.600000","192.08","Reit","","27.000000","","","","","","16.430000","-0.170000","-4.920000","17.430000","18.170000","-5.720000","-9.560000","16.420000","20.600000","16.000000","20.940000","16.160000","10.250000","9.660000","15.940000","14.500000","13.820000","7.380000","20.740000","1.968820","8.000000","15.000000","4.820000","0.388889","-0.505786","0.061077","-0.356964","-0.293103","-0.258321","-0.316667","1.126556","97.492963","2167.328942","1.409059","124.245684","33.447673","30.851439","357.354569","437.037956","51.593989","62.101773","2.119449","76.150544","49.264563","45.296726","13.553192","21.766042"
"ABR PRF","ABR-F","ABR","","","8.000000","07/11/2025","10/30/2026","NONE","0.390000","6.25%","","","192.08","Reit","","51.000000","","","","","","20.600000","","","21.710000","20.520000","-5.120000","0.370000","18.400000","23.300000","17.150000","23.300000","20.430000","10.250000","9.660000","15.940000","14.500000","13.820000","7.380000","20.740000","1.968820","8.000000","15.000000","4.820000","0.388889","-0.505786","0.061077","-0.356964","-0.293103","-0.258321","-0.316667","1.126556","97.492963","2167.328942","1.409059","124.245684","33.447673","30.851439","357.354569","437.037956","51.593989","62.101773","2.119449","76.150544","49.264563","45.296726","13.553192","21.766042"
"ACR PRC","ACR-C","ACR","FF","","8.000000","07/01/2025","7/30/2024","NONE","0.640000","8.63%","","","7.39","Reit","","41.000000","","","","","","24.840000","","","24.790000","24.820000","0.220000","0.070000","22.610000","25.530000","19.750000","25.530000","24.490000","19.100000","12.330000","23.810000","16.740000","19.560000","5.280000","23.810000","0.141149","8.000000","","","2.617424","-0.197816","0.549067","-0.197816","0.140980","-0.023517","","","143.959402","3112.890065","105.711482","143.202325","58.541197","40.409427","","","75.707755","88.759223","84.984141","87.616551","85.474198","59.020157","",""
"ACR PRD","ACR-D","ACR","","","8.000000","07/01/2025","5/21/2026","NONE","0.490000","7.88%","20.500000","18.570000","7.39","Reit","","41.000000","","","","","","20.780000","2.210000","0.280000","21.460000","22.100000","-3.150000","-5.970000","18.120000","23.640000","16.750000","24.490000","20.510000","19.100000","12.330000","23.810000","16.740000","19.560000","5.280000","23.810000","0.141149","8.000000","","","2.617424","-0.197816","0.549067","-0.197816","0.140980","-0.023517","","","143.959402","3112.890065","105.711482","143.202325","58.541197","40.409427","","","75.707755","88.759223","84.984141","87.616551","85.474198","59.020157","",""
"AGNCL","AGNCL","AGNC","FF","","8.000000","07/01/2025","10/15/2027","NONE","0.480000","7.75%","","","1020.48","Reit","","41.000000","","","","","","25.280000","","","24.860000","24.560000","1.670000","2.920000","22.840000","26.590000","19.780000","26.590000","25.020000","9.170000","7.850000","10.850000","9.700000","10.470000","6.810000","18.840000","9.357802","8.000000","19.030000","9.830000","0.346549","-0.513270","0.168153","-0.154839","-0.054639","-0.124164","-0.518129","-0.067141","94.778787","2134.036598","78.276437","152.347771","44.218213","33.667622","242.784879","177.682683","50.185467","61.163189","63.187941","93.148215","64.806315","49.340222","9.528575","9.442667"
"AGNCM","AGNCM","AGNC","FF","","8.000000","07/01/2025","4/15/2024","NONE","0.560000","6.88%","","","1020.48","Reit","","41.000000","","","","","","24.710000","","","24.920000","25.080000","-0.850000","-1.490000","23.010000","25.630000","20.470000","25.850000","24.410000","9.170000","7.850000","10.850000","9.700000","10.470000","6.810000","18.840000","9.357802","8.000000","19.030000","9.830000","0.346549","-0.513270","0.168153","-0.154839","-0.054639","-0.124164","-0.518129","-0.067141","94.778787","2134.036598","78.276437","152.347771","44.218213","33.667622","242.784879","177.682683","50.185467","61.163189","63.187941","93.148215","64.806315","49.340222","9.528575","9.442667"
"AGNCN","AGNCN","AGNC","FF","","8.000000","07/01/2025","10/15/2022","NONE","0.610000","7.00%","","","1020.48","Reit","","41.000000","","","","","","25.680000","","","25.670000","25.700000","0.030000","-0.070000","23.630000","26.590000","23.630000","26.590000","25.350000","9.170000","7.850000","10.850000","9.700000","10.470000","6.810000","18.840000","9.357802","8.000000","19.030000","9.830000","0.346549","-0.513270","0.168153","-0.154839","-0.054639","-0.124164","-0.518129","-0.067141","94.778787","2134.036598","78.276437","152.347771","44.218213","33.667622","242.784879","177.682683","50.185467","61.163189","63.187941","93.148215","64.806315","49.340222","9.528575","9.442667"
"AGNCO","AGNCO","AGNC","FF","","8.000000","07/01/2025","10/15/2024","NONE","0.600000","6.50%","","","1020.48","Reit","","41.000000","","","","","","25.480000","","","25.310000","25.150000","0.680000","1.320000","23.680000","25.950000","20.850000","25.950000","25.150000","9.170000","7.850000","10.850000","9.700000","10.470000","6.810000","18.840000","9.357802","8.000000","19.030000","9.830000","0.346549","-0.513270","0.168153","-0.154839","-0.054639","-0.124164","-0.518129","-0.067141","94.778787","2134.036598","78.276437","152.347771","44.218213","33.667622","242.784879","177.682683","50.185467","61.163189","63.187941","93.148215","64.806315","49.340222","9.528575","9.442667"
